model,level,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
xgboost,boosting_baseline,1.0,1.0,1.0,1.0,1.0,1.0,39.86353135108948,0.028071880340576172
cnn_transformer,deep_joint,0.85,0.6666666666666666,0.728125,0.85,0.7827586206896552,0.632183908045977,17.29712748527527,0.4038844108581543
