model,level,accuracy,balanced_accuracy,cohen_kappa,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
xgboost,boosting_baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8272194862365723,0.008003711700439453
cnn_lstm,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,49.2538104057312,1.0852153301239014
resnet_lstm,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,38.347131967544556,1.9499626159667969
transformer_gru,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,50.37432336807251,1.2426211833953857
mcnn,deep_joint,0.9989014007140895,0.9986381060775843,0.9980160503218128,0.9989014810959832,0.9989014007140895,0.9989009840118249,0.9988895760324331,23.16691780090332,0.7238278388977051
cnn_transformer,deep_joint,0.9983521010711343,0.9980833146571865,0.9970247211271902,0.9983515902670184,0.9983521010711343,0.9983513703622928,0.9981373102915284,23.803496599197388,1.0076301097869873
