model,level,accuracy,balanced_accuracy,cohen_kappa,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
decision_tree,simple_traditional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020328044891357422,0.000995635986328125
xgboost,boosting_baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6434459686279297,0.011270761489868164
cnn_lstm,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,55.1486337184906,1.1135802268981934
mcnn,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,25.47812271118164,0.8549511432647705
transformer_gru,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,50.038490533828735,1.3402645587921143
resnet_lstm,deep_joint,0.9991760505355671,0.9990416573285933,0.9985123170019163,0.999175966742177,0.9991760505355671,0.9991758944446365,0.9991674976807392,32.080620765686035,1.6464080810546875
cnn_transformer,deep_joint,0.9986267508926119,0.9984868659081955,0.9975205283365272,0.9986264587480894,0.9986267508926119,0.9986264907410609,0.9986124961345654,29.71535038948059,0.990208625793457
logistic_regression,simple_traditional,0.9975281516067015,0.9981342163122594,0.995541971099337,0.9975384703127173,0.9975281516067015,0.9975304775074486,0.9975081454722194,0.1089174747467041,0.0016520023345947266
