model,level,accuracy,balanced_accuracy,cohen_kappa,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
xgboost,boosting_baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8922462463378906,0.01900005340576172
resnet_lstm,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,33.36735677719116,1.9111301898956299
transformer_gru,deep_joint,0.9997253501785224,0.999848759830611,0.999504291736226,0.9997256822822969,0.9997253501785224,0.9997254020940601,0.9997227091970359,32.31684970855713,1.311699628829956
mcnn,deep_joint,0.9994507003570448,0.9994452085796022,0.9990083974384463,0.9994507003570448,0.9994507003570448,0.9994507003570448,0.9994452085796022,26.637787580490112,1.0554585456848145
cnn_lstm,deep_joint,0.9989014007140895,0.9986381060775843,0.9980160503218128,0.9989014810959832,0.9989014007140895,0.9989009840118249,0.9988895760324331,41.0150990486145,1.6070356369018555
cnn_transformer,deep_joint,0.9983521010711343,0.9978310035755666,0.9970229578111994,0.9983532523457747,0.9983521010711343,0.9983508482014675,0.9983330986101452,25.283300399780273,0.9371013641357422
logistic_regression,simple_traditional,0.9953309530348805,0.9941488730593285,0.9915607873635276,0.9953302080496119,0.9953309530348805,0.995321879730311,0.9948738594079648,0.16033339500427246,0.0020079612731933594
decision_tree,simple_traditional,0.9810491623180445,0.9860320731694813,0.9660508966961011,0.9816906208606825,0.9810491623180445,0.981189671118369,0.9811478750241265,0.02551889419555664,0.002002716064453125
