model,level,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
gradient_boosting,strong_traditional,0.975,0.9876543209876543,0.9785714285714284,0.975,0.9757256894049346,0.9680696661828737,2.573051691055298,0.0049092769622802734
random_forest,strong_traditional,0.9,0.8209876543209876,0.8926724137931036,0.9,0.8917857142857143,0.8428571428571429,0.7501022815704346,0.06790614128112793
cnn_bilstm_attention,deep_joint,0.85,0.6666666666666666,0.7272727272727273,0.85,0.7825,0.6333333333333333,0.13010692596435547,0.019266366958618164
tcn,deep_sequence,0.85,0.6666666666666666,0.7272727272727273,0.85,0.7825,0.6333333333333333,0.08820581436157227,0.014605998992919922
cnn_lstm,deep_joint,0.8,0.5714285714285715,0.6957142857142857,0.8,0.733736559139785,0.568100358422939,0.10867857933044434,0.017163515090942383
