model,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,prediction_time,output_path
proposed,0.9997253501785224,,0.9997256822822969,0.9997253501785224,0.9997254020940601,,6.334608793258667,results\metrics\self_connect_proposed_raw_seed42_ts03_ep30
resnet_lstm,0.9994507003570448,0.9994452085796022,0.9994507003570448,0.9994507003570448,0.9994507003570448,0.9994452085796022,1.981313943862915,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
cnn_transformer,0.9994507003570448,0.9991928974979821,0.9994511983621607,0.9994507003570448,0.9994504920059124,0.9994447880162166,1.4082467555999756,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
logistic_regression,0.9991760505355671,0.9990416573285933,0.999175966742177,0.9991760505355671,0.9991758944446365,0.9991674976807392,0.0016264915466308594,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
cnn_lstm,0.9989014007140895,0.9986381060775843,0.9989014810959832,0.9989014007140895,0.9989009840118249,0.9988895760324331,1.2168900966644287,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
mcnn,0.9975281516067015,0.9973772830673996,0.9975274427599141,0.9975281516067015,0.9975276833339096,0.9975024930422176,1.043212652206421,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
transformer_gru,0.9967042021422686,0.9954096960695132,0.9967144819907198,0.9967042021422686,0.9966978961828885,0.9966585593538558,1.9371366500854492,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
decision_tree,0.9868168085690744,0.9846665172574921,0.9867933483240635,0.9868168085690744,0.9867761824911472,0.9866034123717267,0.0021834373474121094,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
xgboost,0.9700631694589399,0.9560129136400323,0.9714031110256867,0.9700631694589399,0.9693486070626445,0.9678089714190804,0.0033168792724609375,results\metrics\self_connect_comparison_light_nofs_seed42_ts03_deep10
