tsec,U_totV,iA,PW,m_Air,m_H2,RH_Air,RH_H2,P_Air_supply,P_H2_supply,P_Air_inlet,P_H2_inlet,T_1,T_2,T_3,T_4,T_Air_inlet,T_H2_inlet,T_Stack_inlet,T_Heater,m_Air_write,m_H2_write,Heater_power,i_write,State,State_Label
9926.2299999999996,0.33999999999999347,0.1115224806903872,0.037919202589143199,6.180079264048052,1.298,61.790132946157101,95.152455686713083,0.90293630688775139,0.91849999999999998,1.0777608496937874,0.96595791033231659,15.377269622066905,10,25.424367329621987,15.582103502788684,29.533000000000008,20.488000000000003,30.112589488766908,58.507259061475338,0.52300000000000002,0.54600000000000004,0,0,2,Membrane_Drying
8471.5650000000005,0.80378547645471765,2.713073387845653,2.1799429882965491,6.1704694862033129,1.298,61.179608196259579,92.502528397736967,0.9107732661168364,1.0003513467222249,1.103,1.0362221156283864,13.704128721871747,10,18.487885176654828,13.683059110214195,30.312174607754031,18.529225129156824,19.678075086104933,62.239344347896179,0.52300000000000002,0.54600000000000004,5,3,1,Flooding
7077.0510000000004,0.6170955627533915,15.036999999999711,9.2791394869984796,6.2098591353441233,1.298,59.145245257150151,91.594084191550365,0.90586265069595795,0.98127219149324918,1.0988023666081841,1.0120133161258964,13.574424065205186,10,26.34777190915224,13.543871098622789,30.774453603758289,19.621274867829907,29.426379712151451,63.444261254208186,0.52300000000000002,0.54600000000000004,0,15,0,Normal
5824.143,0.66199999999998749,15.036999999999711,9.954493999999622,6.1926099034773836,1.298,62.323542616820063,89.259946663134173,0.8892425351383666,0.97607309360247962,1.0836760532354759,1.005001070644997,13.657549753129096,10,35.254241669087101,13.61145895639133,30.377936026370687,18.09960447125647,44.468947410270097,65.165664466392585,0.52300000000000002,0.54600000000000004,0,15,2,Membrane_Drying
5160.4260000000004,0.6667081021087552,15.036999999999711,10.025339489404359,6.1857248126636524,1.298,64.846966863968973,92.691836096088423,0.88509634265212078,0.97949592580099243,1.0765473683423128,1.0167451550023936,13.70411160664271,10,35.201261549077678,13.660109888019706,30.303069305091547,18.369603354919747,44.333217645531697,65.055726695874171,0.52300000000000002,0.54600000000000004,0,15,2,Membrane_Drying
10313.949000000001,0.33999999999999347,0.11149298964868749,0.037918384753818597,6.1677741832734405,1.298,61.192695745641188,94.174217286501317,0.90245406778642945,0.91849999999999998,1.078998431463293,0.96902770289678997,15.904999999999999,10,24.540718499046282,15.718999999999999,29.533000000000008,20.488000000000003,26.723976169421402,57.203225850417397,0.52300000000000002,0.54600000000000004,0,0,0,Normal
10021.370999999999,0.33999999999999347,0.1064000543613651,0.036173339927677399,6.1764834336224528,1.298,62.795932070005463,94.479346970107287,0.90023316459084513,0.91849999999999998,1.0825207771725929,0.98249856314901185,15.538116432999873,10,25.119744370880248,15.718999999999999,29.533000000000008,20.488000000000003,29.177018693874729,58.19255584127194,0.52300000000000002,0.54600000000000004,0,0,2,Membrane_Drying
7042.7460000000001,0.62183986047247886,15.036999999999711,9.3505255333782689,6.1735177822991822,1.298,58.653524324734427,91.41007387069422,0.90715227139743415,0.98097340883027984,1.0952202489072709,1.0118156143851922,13.619496239808871,10,26.831563579731359,13.573640426090719,30.77683838641785,19.48646711660998,29.984280800545491,63.598624145551199,0.52300000000000002,0.54600000000000004,0,15,0,Normal
1718.075,0.64499999999998769,15.036999999999711,9.6988649999996319,6.1906283536965239,1.298,98.060496324347355,100,0.88326145597494898,0.98099919701625238,1.0698652791114065,1.0165195179814903,14.431349098197838,10,31.446346346800372,14.381865172640744,30.701038971976491,18.117989926036209,36.31968763199631,63.330111978109215,0.52300000000000002,0.54600000000000004,0,15,0,Normal
7112.7470000000003,0.61257647964845141,15.036999999999711,9.2113987193445368,6.1836630545821567,1.298,58.44985504276265,89.257921903985391,0.91138372424110736,0.98100093681437239,1.096786225691559,1.0102015777387892,13.528938494700355,10,25.983557211745559,13.48779348931685,30.78417993120128,19.36651532936267,28.885669015229102,63.320580258844942,0.52300000000000002,0.54600000000000004,0,15,0,Normal
