tsec,U_totV,iA,PW,m_Air,m_H2,RH_Air,RH_H2,P_Air_supply,P_H2_supply,P_Air_inlet,P_H2_inlet,T_1,T_2,T_3,T_4,T_Air_inlet,T_H2_inlet,T_Stack_inlet,T_Heater,m_Air_write,m_H2_write,Heater_power,i_write,State,State_Label
3487.251,0.60296572968809,15.036999999999711,9.066843563359054,6.17504319795022,1.298,84.41721051981864,95.60473360911844,0.901214893864686,0.9782292100798988,1.0858306975760244,1.0139768344252431,13.682900798009545,10.0,24.980699375728868,13.66576447132802,30.45202939740429,17.81643219855959,32.89628026583627,64.89765489525249,0.523,0.546,5,15.0,2,Membrane_Drying
1159.59,0.3524197830075358,28.53699999999945,10.06618614446919,6.141739521030656,1.298,100.0,100.0,0.8821987256812455,0.9189101566925576,1.0684781111003376,0.963233691956163,14.256417212560056,10.0,35.92801003890578,14.17170337243985,30.847593163513544,17.8705272365017,45.50337028844672,65.1486928654736,0.523,0.546,0,40.0,1,Flooding
6985.603,0.6322785114045497,15.036999999999711,9.50724064808307,6.192362609442018,1.298,58.02828315907912,92.87986534313254,0.9067279199626546,0.9810302200475924,1.097676090666264,1.011099956793189,13.769216419465128,10.0,27.579731985805157,13.72806848243028,30.70342609277841,19.549360969711422,30.976738658281008,63.81236887662141,0.523,0.546,0,15.0,0,Normal
1566.07,0.5481296971618732,25.38537244331646,13.908757591110698,6.169612703595512,1.298,100.0,100.0,0.8801938052015827,0.9563255527320196,1.0674506127178585,0.9960444524468248,14.253825681378538,10.0,35.71514266098256,14.19326750043783,30.765617002242276,18.114272012134645,43.96185903010514,64.09102617156579,0.523,0.546,0,25.0,1,Flooding
1015.205,0.4158709370540589,28.53699999999945,11.87270964489893,6.168990799462192,1.298,100.0,100.0,0.8765019721734867,0.9292202489072706,1.0635765080981332,0.96895456965673,14.46952143192351,10.0,35.81132994756559,14.350047798345372,30.87967241013627,17.83283102643975,45.27283707685859,65.12825192156737,0.523,0.546,0,35.0,1,Flooding
9943.655,0.3399999999999935,0.1119999999999978,0.0380799999999985,6.200131522562342,1.298,61.98127190750367,94.96341832876698,0.9003366570122417,0.9185,1.083648659082008,0.964202113061288,15.464131953144657,10.0,25.37302334615294,15.642953909137384,29.53300000000001,20.488000000000003,29.933908400129,58.44985213425825,0.523,0.546,0,0.0,2,Membrane_Drying
4822.964,0.8521269790935079,0.8285754150716732,0.7083964319579206,6.178246453874372,1.298,81.17629915575327,93.4346672307648,0.8907796241697337,1.00915168937048,1.0823828801752868,1.0426503470317994,13.798991562405307,10.0,35.214749762052975,13.774193706592474,30.294888264218685,18.155951034043177,44.37499482526608,65.31604286245522,0.523,0.546,0,0.8,0,Normal
2090.364,0.5999999999999884,15.036999999999711,9.022199999999652,6.1864039561553845,1.298,97.13830858362115,95.08124799882154,0.891054942678597,0.9802153990532172,1.0836494620657555,1.0114042261225755,14.540274204345918,10.0,25.37404329618156,14.470886448715136,30.580393389420884,18.142961401567664,28.08421303674639,61.88683957606774,0.523,0.546,0,15.0,2,Membrane_Drying
5040.126,0.6124026591768666,21.73500106457636,13.309272926160478,6.214630557142282,1.298,78.20499288317222,90.73312046302824,0.8835680709806344,0.9608897124905728,1.0726752876825163,0.9892203758302665,13.840692015399132,10.0,35.17956958323244,13.789234476026664,30.33103541117749,18.233890149568737,44.52362782079918,64.91942687608115,0.523,0.546,5,20.0,2,Membrane_Drying
5124.135,0.6699999999999872,15.036999999999711,10.074789999999616,6.196289307949669,1.298,78.19766756508734,91.0082888389808,0.8826561808477171,0.9789576859060882,1.0744218579533524,1.0162490270218885,13.70102854774668,10.0,35.242627035480254,13.670146713835468,30.31666955875409,18.39396289365939,44.46981402606277,65.14758596541218,0.523,0.546,0,15.0,0,Normal
1028.63,0.401754535776567,28.53699999999945,11.466974631540666,6.140726868746279,1.298,98.03233381349445,100.0,0.8752921149452038,0.925980309972964,1.0569842712715758,0.967734729148962,14.376330344487329,10.0,35.83849949029079,14.301158572734836,30.8699126384964,17.85165663045014,45.268039083556616,65.0705070789657,0.523,0.546,0,36.0,1,Flooding
9824.796,0.3399999999999935,0.1119999999999978,0.0380799999999985,6.177277352139258,1.298,63.08765196065268,95.1541288131296,0.9025780464309444,0.9185,1.082225027545284,0.967787376165904,15.39898842596068,10.0,25.815520851042063,15.528922177470486,29.53300000000001,20.488000000000003,31.23450730161875,58.86572721151608,0.523,0.546,0,0.0,2,Membrane_Drying
10165.946,0.3399999999999935,0.1118783211397745,0.0380392951855692,6.175942815597655,1.298,62.46682314145363,94.23902357494424,0.9019894971843724,0.9185,1.083702644405196,0.9710005353224984,15.623424178026069,10.0,24.790520736680847,15.719,29.53300000000001,20.488000000000003,27.851258817233138,57.69120446628381,0.523,0.546,0,0.0,2,Membrane_Drying
9825.657,0.3399999999999935,0.1119999999999978,0.0380799999999985,6.16285351179539,1.298,62.73657632309201,95.1180145226644,0.9008012276142988,0.9185,1.0854244345204718,0.9688300011560858,15.40100867663532,10.0,25.80487241328123,15.531367363536528,29.53300000000001,20.488000000000003,31.220962266296173,58.85664017777556,0.523,0.546,0,0.0,2,Membrane_Drying
864.053,0.5139272916713756,22.903323246279207,11.772230359591308,6.150684941426498,1.298,100.0,100.0,0.8631580893731521,0.9434107007214052,1.0494479115937816,0.9834416229931688,14.421729096755644,10.0,35.50369843398309,14.318704952551643,30.85726470406909,17.925242370359456,44.80600297824985,65.37440361115429,0.523,0.546,0,23.0,1,Flooding
9879.082,0.3399999999999935,0.1119999999999978,0.0380799999999985,6.187755332888584,1.298,62.48051265117394,94.28047043583912,0.8984180775709707,0.9185,1.0825457623748174,0.9657984222612106,15.427434075393442,10.0,25.54571219111228,15.55788208646845,29.53300000000001,20.488000000000003,30.62694298354353,58.66199406975099,0.523,0.546,0,0.0,2,Membrane_Drying
6333.748,0.7903493850370187,4.354592380348283,3.4444589883975736,6.209444416332934,1.298,59.71604682800118,90.93210545539372,0.8955379145810938,0.9904454160874118,1.0840265911697204,1.0207984222612108,13.581205206474102,10.0,35.26828258841104,13.579788059159272,30.7954342811748,18.07644006583992,44.45120234360738,65.30648419316576,0.523,0.546,0,4.0,0,Normal
752.928,0.6369999999999878,12.03699999999977,7.667568999999706,6.146695345806501,1.298,100.0,100.0,0.8602638799822595,0.9731693024239758,1.0529991970162524,1.0070824912037255,14.566560408157391,10.0,35.560825351733534,14.478782548701629,30.84046519356086,17.990443460219325,44.65322970591387,65.6913739396858,0.523,0.546,0,12.0,3,Thermal_Management_Fault
10005.371,0.3399999999999935,0.1088994994224083,0.0370146560593649,6.189116603294898,1.298,62.20565733869887,94.5023909932508,0.9019856132291066,0.9185,1.0813636900955492,0.963,15.517540287460871,10.0,25.19777563850393,15.709393779503747,29.53300000000001,20.488000000000003,29.331079595785383,58.23222783542235,0.523,0.546,0,0.0,2,Membrane_Drying
2873.798,0.5419999999999896,15.036999999999711,8.150053999999688,6.184640935903465,1.298,86.10157306373853,97.0493298939638,0.8957894736185941,0.9763751483790568,1.0816631504011762,1.009879307497441,13.705978461701635,10.0,19.695550131161117,13.662092168321523,30.40334936043457,18.73595296943205,21.227234788956466,58.91228911056804,0.523,0.546,0,15.0,3,Thermal_Management_Fault
7464.75,0.5799999999999887,15.036999999999711,8.721459999999665,6.213166145772142,1.298,62.53160880562214,86.3079125019934,0.9085780931354,0.9785257626909551,1.0984216086263472,1.0167451550023936,13.66183537796359,10.0,22.799145489330165,13.62209610158368,30.758378337435964,19.01342039403913,24.909375602538283,61.98781119078436,0.523,0.546,0,15.0,3,Thermal_Management_Fault
7126.752,0.6121030147908102,15.036999999999711,9.204066614265182,6.206427499888106,1.298,59.09888966776141,86.49115338439563,0.9060498883683094,0.9795217139869647,1.100845489490076,1.012784035490317,13.651227733319756,10.0,25.83386739992456,13.58366647002746,30.783286372385263,19.19750307380309,28.6668435723966,63.25599308588177,0.523,0.546,0,15.0,0,Normal
1016.632,0.4151879997281851,28.53699999999945,11.847961328860208,6.140044896345471,1.298,100.0,100.0,0.8752706247902267,0.9305590792310025,1.0674714834150931,0.9703166515779912,14.450610781081629,10.0,35.81101454380474,14.33384440106954,30.87912106505972,17.83031498507349,45.27423490782844,65.1033146231673,0.523,0.546,0,35.0,1,Flooding
