model,level,accuracy,balanced_accuracy,cohen_kappa,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
resnet_lstm,deep_joint,0.9994507003570448,0.9994452085796022,0.9990083974384463,0.9994507003570448,0.9994507003570448,0.9994507003570448,0.9994452085796022,57.43953847885132,1.981313943862915
cnn_transformer,deep_joint,0.9994507003570448,0.9991928974979821,0.9990080251609065,0.9994511983621607,0.9994507003570448,0.9994504920059124,0.9994447880162166,33.73656105995178,1.4082467555999756
logistic_regression,simple_traditional,0.9991760505355671,0.9990416573285933,0.9985123170019163,0.999175966742177,0.9991760505355671,0.9991758944446365,0.9991674976807392,0.09119606018066406,0.0016264915466308594
cnn_lstm,deep_joint,0.9989014007140895,0.9986381060775843,0.9980160503218128,0.9989014810959832,0.9989014007140895,0.9989009840118249,0.9988895760324331,49.57965445518494,1.2168900966644287
mcnn,deep_joint,0.9975281516067015,0.9973772830673996,0.9955369510057489,0.9975274427599141,0.9975281516067015,0.9975276833339096,0.9975024930422176,24.0424485206604,1.043212652206421
transformer_gru,deep_joint,0.9967042021422686,0.9954096960695132,0.9940391995075505,0.9967144819907198,0.9967042021422686,0.9966978961828885,0.9966585593538558,51.6312530040741,1.9371366500854492
decision_tree,simple_traditional,0.9868168085690744,0.9846665172574921,0.9761298728969818,0.9867933483240635,0.9868168085690744,0.9867761824911472,0.9866034123717267,0.043013572692871094,0.0021834373474121094
xgboost,boosting_baseline,0.9700631694589399,0.9560129136400323,0.9448658666105418,0.9714031110256867,0.9700631694589399,0.9693486070626445,0.9678089714190804,0.20973992347717285,0.0033168792724609375
