model,level,accuracy,balanced_accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
xgboost,boosting_baseline,0.9666666666666667,0.9833333333333334,0.9722222222222222,0.9666666666666667,0.9677544677544676,0.9611499611499612,39.92676115036011,0.04455113410949707
transformer_gru,deep_joint,0.8666666666666667,0.7833333333333332,0.8535353535353535,0.8666666666666667,0.8531746031746031,0.8015873015873015,7.325205087661743,0.5367686748504639
cnn_lstm,deep_joint,0.8333333333333334,0.6666666666666666,0.7,0.8333333333333334,0.7592592592592593,0.6296296296296297,17.275445222854614,0.5202159881591797
mcnn,deep_joint,0.8333333333333334,0.6666666666666666,0.7,0.8333333333333334,0.7592592592592593,0.6296296296296297,8.078815221786499,0.39599084854125977
cnn_transformer,deep_joint,0.8333333333333334,0.6666666666666666,0.7,0.8333333333333334,0.7592592592592593,0.6296296296296297,5.805327415466309,0.355288028717041
resnet_lstm,deep_joint,0.6666666666666666,0.3333333333333333,0.4761904761904762,0.6666666666666666,0.5555555555555556,0.2777777777777778,8.879819631576538,0.5605475902557373
